objectId,ra_deg,dec_deg,gmag,rmag,jd_first,jd_latest,sherlock_class,redshift_z,photo_z,photo_z_err,distance_modulus,separation_kpc,class_reliability,fetched_utc
ZTF17aaaggdv,31.80866444,-5.96924282,19.614,18.9178,2460602.8574537,2460616.8579861,SN,0.088,0.0,0.0,400.37,2.521,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaaipbw,116.76279680416667,26.77383724583333,,19.596,2461093.7125231,2461120.6493287,SN,0.024,0.03,0.007,103.039,6.371,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaanuho,132.5651192,19.2763128,,19.1502,2460726.9722106,2460726.9722106,SN,0.014,0.0,0.0,59.508,45.946,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaaomoq,124.9133767,19.923244,19.6638,,2460649.9580671,2460649.9580671,SN,0.015,0.025,0.007,64.839,10.479,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaapkkm,176.6057433,1.9926199,,20.4824,2460049.7788657,2460077.730463,SN,0.03,0.03,0.01,125.02,5.63,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaapltv,183.32014715000003,13.2772758,,20.8732,2460409.6752662,2460410.8234838,SN,0.064,0.066,0.018,288.319,7.988,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaapswm,177.2203501,15.2368233,18.4195,,2460446.7170023,2460446.7170023,SN,0.113,0.119,0.027,524.913,8.718,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaapuev,193.6697653,28.9385823,,16.6243,2460258.0391435,2460258.0391435,SN,0.01,0.04,0.01,35.71,0.28,2,2026-03-24T12:32:39.811136+00:00
ZTF17aaaxdks,21.4173251,34.7128401,18.1218,,2459994.702338,2459994.702338,SN,0.02,0.0,0.0,69.74,0.88,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabaiyk,26.8753306,36.0345968,,17.8908,2460825.9890972,2460825.9890972,SN,0.016,0.0,0.0,70.106,0.428,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabckpf,13.1461776,29.2003892,18.2626,,2460965.8662616,2460965.8662616,SN,0.016,0.0,0.0,70.339,8.996,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabexbn,52.688518099999996,-4.84983955,18.7443,18.1569,2461070.6674306,2461072.6306366,SN,0.019,0.0,0.0,83.091,0.585,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabfejl,47.1338871,-2.4268509,,19.0471,2460257.7756829,2460257.7756829,SN,0.02,0.0,0.0,66.5,0.54,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabfmic,55.18486675,1.05619435,19.5859,19.2942,2461055.6724306,2461055.7704282,SN,0.024,0.034,0.008,103.851,0.835,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabpuod,9.8952045,6.1741363,,21.8688,2460585.7915278,2460585.7915278,SN,0.187,0.0,0.0,911.276,46.911,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabsbsy,101.253141,-13.3202654,,19.042,2460262.9661343,2460262.9661343,SN,0.01,0.0,0.0,40.36,23.7,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabtwqf,173.03060317499998,25.850663725,,20.0359,2461032.029537,2461060.9564815,SN,0.071,0.076,0.021,319.137,2.026,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabwqgt,178.2056162,44.1202908,,18.8495,2461051.0163426,2461051.0163426,SN,0.003,0.0,0.0,11.583,0.104,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabwqrr,165.0978951,4.1962426,19.9211,,2460101.706088,2460101.706088,SN,0.02,0.03,0.01,97.39,0.59,2,2026-03-24T12:32:39.811136+00:00
ZTF17aabxiwr,187.40745776499998,7.826424215000001,,17.806,2461094.9172454,2461123.8087616,SN,0.008,0.033,0.008,33.555,0.634,2,2026-03-24T12:32:39.811136+00:00
ZTF17aacktgc,95.4563825,21.7272151,,18.8694,2461074.7751157,2461074.7751157,SN,0.016,0.0,0.0,68.862,18.769,2,2026-03-24T12:32:39.811136+00:00
ZTF17aackyop,139.9448825,33.749442200000004,18.334,18.4034,2459880.9293056,2459904.9745949,SN,0.02,0.0,0.0,87.41,0.66,2,2026-03-24T12:32:39.811136+00:00
ZTF17aacnzjg,18.1444622,-6.1594618,,14.9594,2460534.8502315,2460534.8502315,SN,0.036,0.024,0.01,158.403,8.923,2,2026-03-24T12:32:39.811136+00:00
ZTF17aacrpst,154.7891122,34.6877023,17.6991,,2459985.7969097,2459985.7969097,SN,0.02,0.02,0.01,65.1,15.07,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadeyaf,121.8368509,30.5722312,17.6672,,2460407.7012731,2460407.7012731,SN,0.051,0.065,0.011,227.16,19.302,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadjxul,115.5051408,22.956054,18.148,,2461094.678287,2461094.678287,SN,0.002,0.0,0.0,9.245,2.287,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadmntb,68.8906181,18.3454179,,18.8205,2460683.821713,2460683.821713,SN,0.016,0.0,0.0,68.364,0.559,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadsext,91.9964623,22.4544559,17.1352,,2460595.928912,2460595.928912,SN,0.037,0.0,0.0,162.627,18.631,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadsnac,140.8628715,-10.4296332,,18.225,2461087.7207176,2461087.7207176,SN,0.038,0.0,0.0,165.915,0.845,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadtkxz,136.49908597222222,35.37320008333333,18.8678,16.3731,2461050.8828241,2461076.6933218,SN,0.024,0.014,0.007,102.755,7.55,2,2026-03-24T12:32:39.811136+00:00
ZTF17aadvwgu,118.182424,17.55726145,20.4678,,2460706.8170833,2460726.8604282,SN,0.016,0.0,0.0,68.864,34.838,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaaanxb,91.66756266428571,28.655146607142854,,19.5638,2461093.6438889,2461119.6802431,SN,0.031,0.0,0.0,136.045,12.568,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaabbsv,112.5173568,54.4364425,20.8001,,2460411.6627315,2460411.6627315,SN,0.021,0.0,0.0,91.218,3.21,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaablss,122.38527109230768,35.654790215384615,,20.3921,2461094.7368056,2461123.6923495,SN,0.091,0.069,0.024,418.196,11.48,2,2026-03-24T12:32:39.811136+00:00
